# Scan b64424c3-6233-4a78-ac8a-230b41f7b427 at 922db007d1df29270b4e5575654b1b2d26bb371f
# Findings JSON SHA-256 0556984340d1b0596714535941f0a220a28504cc8a5eec3e5502fc1c2817c5de
# Original scan was cancelled. These 81 retained entries are not an exhaustive audit.
# open-pr means locally verified, not merged or deployed. unreviewed is not a dismissal.
# Duplicate-looking entries keep their original IDs until shared remediation is verified.
finding_id	severity	status	evidence	path	title
csf_6682f6f1638c0d6056d4ece2	critical	already-fixed-verified	fcbd97fa / PR #343; merged on main; original local verification retained (15 usage tests normally and in user namespace; Clippy passed; lock scope only)	src/core/usage.rs	Privileged usage tracking can transfer ownership of an arbitrary root file through a lock symlink
csf_c17f3813a5b888adbd46e35d	high	unreviewed	Compare current code and existing fixes before reproduction	install.sh	Entering an untrusted repository can execute code or poison the shell through automatic mise environment hooks
csf_60dbbe3ec5a31adbd18032b4	high	open-pr	PR #354; namespace-root regression failed on caller OMG_PACMAN_CONF; 23 path and 19 privilege tests plus root rerun and Clippy passed; root resolution ignores all OMG_PACMAN_ overrides; direct sudo not exercised	src/core/privilege.rs	Preserved package-manager configuration can turn constrained OMG sudo access into root command execution
csf_c1e221da0795c5232f0288a4	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Mutable AUR archives can be substituted before root installation because outputs are not bound to the reviewed build
csf_faa0b91fc9ff649155b8e8ce	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Mutable AUR sources can change after review and before root-installed build output
csf_c02b9be84d08ac7b84fc7f77	high	open-pr	PR #358; package/FST mutation regressions failed on baseline; 55 Debian DB tests, namespace-root mutation tests and Debian-pure Clippy passed; owned validated snapshots replace mutable mmaps; metadata authenticity remains separate	src/package_managers/apt.rs	Privileged Debian preflight maps an invoking-user-writable rkyv archive and uses unchecked references
csf_2659d8b9d0f37b0042f47ecf	high	unreviewed	Compare current code and existing fixes before reproduction	docs/installation.md	Documented manual installation bypasses mandatory release provenance verification
csf_2f611a250573ac51885cb808	high	unreviewed	Compare current code and existing fixes before reproduction	src/core/security/policy.rs	`require_pgp` treats repository origin as signature proof for prepared ALPM packages
csf_698b520eaa50d63fab591260	high	already-fixed-verified	ce1b58d2 / PR #344; merged on main; original local verification retained (18 privilege tests and two Debian snapshot tests; Clippy passed)	src/cli/args.rs	Global CLI flags bypass the pre-sudo immutable archive snapshot
csf_5eef98bc6a0d1bd2cc5e4e70	high	open-pr	Draft PR #363 removes ownership handbacks and isolates root storage; baseline root path regression reproduced; 70 focused and 22 Debian path tests, root namespace roundtrip, public history CLI and Clippy passed; storage compatibility review required	src/core/safe_ops.rs	Elevated state writes can be raced to transfer ownership of root files
csf_b6e85633f0f14096aa5190b6	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	AUR approval hides executable install-hook and auxiliary-file contents
csf_640a559599992bb4a020f8d2	high	unreviewed	Compare current code and existing fixes before reproduction	src/bin/omg.rs	Invoking OMG through sudo can replace the enforced package policy
csf_9454a6de49c904f2bab4c155	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Mutable AUR archives can be substituted before root installation because outputs are not bound to the reviewed build
csf_397af6db1eff5da0ba5c12f1	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Installing a cached AUR build can promote a forged archive to root
csf_e8336d33a3948266542e2199	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	User-writable AUR cache can substitute a forged archive for root installation
csf_4417a4f5e4911470b85b9db7	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	AUR package payloads are not bound to the reviewed build before root installation
csf_f7cb153a93816c52fd72f9ee	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	User-writable AUR cache can substitute a forged archive for root installation
csf_ffd444395c78a424c5a948cb	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	A forged user-cache package can be sealed and installed as root
csf_e6a761ed878121247238fa7e	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	A fresh AUR package can be replaced before OMG seals it for root installation
csf_ca5461b84c4c5bd1cca74124	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	User-writable AUR cache can substitute a forged archive for root installation
csf_ba66931c6348ec65960fa6cc	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	User-writable AUR cache can substitute a forged archive for root installation
csf_ad07b1ac1fa67d3039febe90	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Mutable AUR archives can cross the user-to-root installation boundary without being bound to the reviewed build
csf_1ef7b1bfb69690d3e7c2e28b	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Installing an AUR build can root-install a substituted matching-metadata archive
csf_b18e4671214aaf59b9be3e9a	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	User-writable AUR cache can substitute a forged archive for root installation
csf_4c3160780df200afd924b01d	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Mutable AUR archives can be substituted before root installation because outputs are not bound to the reviewed build
csf_c500322e3515bb7cc1f458a0	high	unreviewed	Compare current code and existing fixes before reproduction	src/config/settings.rs	Default AUR build-cache authorization accepts attacker-substituted package payloads
csf_a33f046eda5087186631a8d9	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Mutable AUR archives can be substituted before root installation because outputs are not bound to the reviewed build
csf_5622fa40141af75470ec92f1	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Installing or rolling back an AUR package can install a substituted root payload
csf_13b33e8688a85ad284742516	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	AUR package archive paths can be replaced before sealed snapshot capture
csf_9a1b36dcd4caee281f374f9c	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Mutable AUR archives can be substituted before root installation because outputs are not bound to the reviewed build
csf_877c73f206e7000bd0ee357f	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Mutable AUR archives can be substituted before root installation because outputs are not bound to the reviewed build
csf_b3455aab467df36b0676bae5	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Mutable AUR archives can be substituted before root installation because outputs are not bound to the reviewed build
csf_603c0abace6281c6d9b67d53	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Mutable AUR archives can be substituted before root installation because outputs are not bound to the reviewed build
csf_c5aa4548faeafa36cb2210ab	high	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	AUR’s shared build cache can substitute attacker-authored package payloads for reviewed packages
csf_524ffdc3b3669e4d2846fd9b	high	already-fixed-verified	35c08986 / PR #345; merged on main; original local verification retained (17 privilege tests; Clippy passed)	src/core/privilege.rs	Privileged APT operations inherit attacker-controlled APT configuration
csf_136559e6ad869b5022c637c6	high	unreviewed	Compare current code and existing fixes before reproduction	src/hooks/mod.rs	Entering an untrusted repository can execute code through automatic mise environment activation
csf_d45baa7aabb5c3c82a6f1101	high	unreviewed	Compare current code and existing fixes before reproduction	src/config/mise_env.rs	Entering an untrusted repository can execute code through automatic hook environment imports
csf_fdd4999c478d30eef01128fe	low	unreviewed	Compare current code and existing fixes before reproduction	src/core/paths.rs	Status command reads an unvalidated environment-selected cache file
csf_faa86205bd9c24d28b4e0c29	low	unreviewed	Compare current code and existing fixes before reproduction	src/cli/workspace.rs	Workspace read-only commands can execute project-controlled tools through a relative PATH
csf_06b3d3baeb6b282050c57d5f	low	open-pr	PR #360; borrowed-entry mutation reproduced before fix; owned validated bytes survive overwrite/truncation; nine index tests and Clippy passed; input bounds and special-file rejection covered; authenticity remains separate	src/package_managers/aur_index.rs	AUR zero-copy index assumes same-UID processes cannot mutate its mapped inode
csf_dd6876835da90deecad745b5	low	unreviewed	Compare current code and existing fixes before reproduction	src/cli/env.rs	Gist lockfile fields can inject terminal control sequences
csf_08340651f690879f7254bd97	low	unreviewed	Compare current code and existing fixes before reproduction	src/core/http.rs	Gist and dashboard responses bypass metadata size limits
csf_984f3dd41c6f45d103740b57	low	unreviewed	Compare current code and existing fixes before reproduction	src/runtimes/rust.rs	Runtime metadata can redirect downloader requests to local and private-network services
csf_7d8b2a35e6681d19128184cd	low	open-pr	PR #373; baseline deleted custom/composed fixtures; exact current-template matching preserves them; nine unit tests, real CLI fixture test and Clippy passed; concurrent replacement and historical hook migration not covered	src/cli/git_hooks.rs	Git-hook uninstall can delete unrelated custom automation based on a substring marker
csf_9d140ef71d51e291229ab753	low	unreviewed	Compare current code and existing fixes before reproduction	benches/aur_install_bench.sh	Running the AUR benchmark can execute mutable third-party packages directly on the host
csf_050159d5f17c7f32c62fd0cc	low	needs-source	Only generated website artifacts were reported; no tracked site source exists on a0cc333b; deployment not inspected	site/dist/_worker.js/chunks/nitro/nitro.mjs	Requesting public diagnostic APIs reveals deployment and database internals
csf_b5cb0e51b040f013e9af8dde	low	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	A same-user process can change reviewed AUR inputs before they are installed as root
csf_cb969d754aa5a955660966ce	medium	unreviewed	Compare current code and existing fixes before reproduction	src/cli/self_update.rs	A PATH-hijacked `gh` can approve and run during self-update
csf_4153d0869d70201d6c2f1241	medium	unreviewed	Compare current code and existing fixes before reproduction	src/core/paths.rs	Replaceable custom daemon paths permit lock-file clobbering and socket-removal denial of service
csf_af47b232dc7d26d308b3eda0	medium	unreviewed	Compare current code and existing fixes before reproduction	src/cli/commands.rs	Repository env-file reads can hang or exhaust memory in completion and automatic shell hooks
csf_7b7ff8ed40abad5153040fdd	medium	unreviewed	Compare current code and existing fixes before reproduction	src/hooks/mod.rs	Installing an AUR package from a crafted project can erase an unrelated dirty Git worktree
csf_5fa4c20e71ff533cb890507b	medium	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/alpm_ops.rs	Installing a package with a compound license can bypass the configured license allowlist
csf_8bef0bb5c3bad157926ae270	medium	unreviewed	Compare current code and existing fixes before reproduction	src/core/env/team.rs	`omg team push` can commit unrelated staged secrets and unfinished work
csf_be9c383fad0449d5a601deb0	medium	needs-source	Only generated website artifacts were reported; no tracked site source exists on a0cc333b; deployment not inspected	site/dist/_worker.js/chunks/build/migrate.mjs	Calling `/api/migrate` anonymously can alter the production authentication database schema
csf_4c5b8cb8ea49c0da05e0d928	medium	unreviewed	Compare current code and existing fixes before reproduction	src/cli/tool.rs	Cargo-backed tool installs execute project-controlled build configuration
csf_75e85ca8a86f51929ae0bed6	medium	unreviewed	Compare current code and existing fixes before reproduction	src/cli/tool.rs	Tool packages can replace unrelated commands in OMG's shared bin directory
csf_245fc024a8666d3f582f9237	medium	unreviewed	Compare current code and existing fixes before reproduction	src/package_managers/aur/client.rs	Repository-controlled helpers can run before review through relative PATH entries
csf_6eb1b0fae64442c33464c30e	medium	already-fixed-verified	de8963f6 / PR #310; oversized_security_audits_are_rejected_without_losing_findings passed on a0cc333b	src/daemon/server.rs	Oversized daemon security audits silently discard findings while reporting success
csf_6b6c47725ad3935c90e566d4	medium	unreviewed	Compare current code and existing fixes before reproduction	tests/README.md	System-test opt-in can authorize destructive Fedora and AUR host mutations without the destructive-test flag
csf_861ca461fc7728e1783fc843	medium	unreviewed	Compare current code and existing fixes before reproduction	src/core/license.rs	Remote dashboard metadata reaches terminals without control-sequence neutralization
csf_40127178c6f05eea6c121003	medium	unreviewed	Compare current code and existing fixes before reproduction	src/runtimes/common.rs	Installing a crafted runtime archive can write outside the staging directory
csf_2cb1c9545ac0aca87aa1ae41	medium	unreviewed	Compare current code and existing fixes before reproduction	src/cli/container.rs	Building an OMG-generated container can execute unverified runtime downloads as root
csf_ac3dc9bbbb878904d96e02c6	medium	unreviewed	Compare current code and existing fixes before reproduction	src/core/container.rs	Building an OMG-generated image can embed untracked credentials and repository data
csf_d8ce3b07f2edf0a84f58c901	medium	unreviewed	Compare current code and existing fixes before reproduction	src/core/history.rs	Mutable user history can poison privileged rollback package selection
csf_87e3f9f7dec33c3738538da3	medium	unreviewed	Compare current code and existing fixes before reproduction	src/cli/workspace.rs	Repository workspace commands can spoof their consent preview with terminal controls
csf_00c97e4593f4476a171dd6f5	medium	unreviewed	Compare current code and existing fixes before reproduction	install.sh	Installing into a shared directory can overwrite files outside the install location
